21-06-001         ;0;2651;BL/23735 POS MASTER CAFETERIA                               ;05-DEC-17;;; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
11-11-111         ;1;0;BL/23735 POS MASTER CAFETERIA                               ;05-DEC-17;49514;; ;;    ;   ;;   ; ;        ; ;022;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-01-001         ;0;13950;BL/23735 POS MASTER CAFETERIA                               ;05-DEC-17;49514;1]; ;;    ;   ;;   ; ;        ; ;066;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-02-005         ;0;1660;BL/23735 POS MASTER CAFETERIA                               ;05-DEC-17;49514;1]; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
11-04-017         ;18260;0;BL/23735 POS MASTER CAFETERIA                               ;05-DEC-17;49514;HN; ;140417;    ;   ;BOLCAFETER;   ; ;        ; ;;  ;  ;BOLCAFETER;BL ;23735;05-12-2017;05-12-2017;BL ;23735;        ;13950;1660;2651; ; ; ; ; ; ;18260
11-04-017         ;8910;0;BL/23736 POS MASTER CAFETERIA                               ;05-DEC-17;49515;HN; ;19836;    ;   ;BOLCAFETER;   ; ;        ; ;;  ;  ;BOLCAFETER;BL ;23736;05-12-2017;05-12-2017;BL ;23736;        ;6807;810;1293; ; ; ; ; ; ;8910
40-01-001         ;0;4370;BL/23736 POS MASTER CAFETERIA                               ;05-DEC-17;49515;1]; ;;    ;   ;;   ; ;        ; ;066;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-01-001         ;0;2437;BL/23736 POS MASTER CAFETERIA                               ;05-DEC-17;49515;1]; ;;    ;   ;;   ; ;        ; ;067;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-02-005         ;0;810;BL/23736 POS MASTER CAFETERIA                               ;05-DEC-17;49515;1]; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
21-06-001         ;0;1293;BL/23736 POS MASTER CAFETERIA                               ;05-DEC-17;;; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
11-04-018         ;4840;0;BL/23737 POS DEBITO CAFETERIA                               ;05-DEC-17;49513;HN; ;9037;    ;   ;BOLCAFETER;   ; ;        ; ;;  ;  ;BOLCAFETER;BL ;23737;05-12-2017;05-12-2017;BL ;23737;        ;3697;440;702; ; ; ; ; ; ;4840
11-11-111         ;0;1;BL/23737 POS DEBITO CAFETERIA                               ;05-DEC-17;49513;; ;;    ;   ;;   ; ;        ; ;022;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-01-001         ;0;3697;BL/23737 POS DEBITO CAFETERIA                               ;05-DEC-17;49513;1]; ;;    ;   ;;   ; ;        ; ;066;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-02-005         ;0;440;BL/23737 POS DEBITO CAFETERIA                               ;05-DEC-17;49513;1]; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
21-06-001         ;0;702;BL/23737 POS DEBITO CAFETERIA                               ;05-DEC-17;;; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
21-06-001         ;0;958;BL/23738 POS CASH CAFETERIA                                 ;05-DEC-17;;; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
11-01-009         ;6000;0;BL/23738 POS CASH CAFETERIA                                 ;05-DEC-17;49517;HN; ;;    ;   ;BOLCAFETER;   ; ;        ; ;;  ;  ;BOLCAFETER;BL ;23738;05-12-2017;05-12-2017;BL ;23738;        ;5042;;958; ; ; ; ; ; ;6000
40-01-001         ;0;5042;BL/23738 POS CASH CAFETERIA                                 ;05-DEC-17;49517;1]; ;;    ;   ;;   ; ;        ; ;066;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
21-06-001         ;0;1062;BL/23739 POS CASH CAFETERIA                                 ;05-DEC-17;;; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-01-001         ;0;5588;BL/23739 POS CASH CAFETERIA                                 ;05-DEC-17;49516;1]; ;;    ;   ;;   ; ;        ; ;066;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
11-01-009         ;6650;0;BL/23739 POS CASH CAFETERIA                                 ;05-DEC-17;49516;HN; ;;    ;   ;BOLCAFETER;   ; ;        ; ;;  ;  ;BOLCAFETER;BL ;23739;05-12-2017;05-12-2017;BL ;23739;        ;5588;;1062; ; ; ; ; ; ;6650
11-04-018         ;11220;0;BL/23740 POS VISA CAFETERIA                                 ;05-DEC-17;49518;HN; ;843062;    ;   ;BOLCAFETER;   ; ;        ; ;;  ;  ;BOLCAFETER;BL ;23740;05-12-2017;05-12-2017;BL ;23740;        ;8572;1020;1629; ; ; ; ; ; ;11220
21-06-001         ;0;1629;BL/23740 POS VISA CAFETERIA                                 ;05-DEC-17;;; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-01-001         ;0;6639;BL/23740 POS VISA CAFETERIA                                 ;05-DEC-17;49518;1]; ;;    ;   ;;   ; ;        ; ;066;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-01-001         ;0;1933;BL/23740 POS VISA CAFETERIA                                 ;05-DEC-17;49518;1]; ;;    ;   ;;   ; ;        ; ;067;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-02-005         ;0;1020;BL/23740 POS VISA CAFETERIA                                 ;05-DEC-17;49518;1]; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
11-11-111         ;1;0;BL/23740 POS VISA CAFETERIA                                 ;05-DEC-17;49518;; ;;    ;   ;;   ; ;        ; ;022;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
21-06-001         ;0;607;BL/23741 POS VISA CAFETERIA                                 ;05-DEC-17;;; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-02-005         ;0;380;BL/23741 POS VISA CAFETERIA                                 ;05-DEC-17;49519;1]; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-01-001         ;0;3193;BL/23741 POS VISA CAFETERIA                                 ;05-DEC-17;49519;1]; ;;    ;   ;;   ; ;        ; ;066;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
11-04-018         ;4180;0;BL/23741 POS VISA CAFETERIA                                 ;05-DEC-17;49519;HN; ;200075;    ;   ;BOLCAFETER;   ; ;        ; ;;  ;  ;BOLCAFETER;BL ;23741;05-12-2017;05-12-2017;BL ;23741;        ;3193;380;607; ; ; ; ; ; ;4180
40-01-001         ;0;2437;BL/23742 POS MASTER CAFETERIA                               ;05-DEC-17;49520;1]; ;;    ;   ;;   ; ;        ; ;067;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-02-005         ;0;730;BL/23742 POS MASTER CAFETERIA                               ;05-DEC-17;49520;1]; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
11-11-111         ;0;1;BL/23742 POS MASTER CAFETERIA                               ;05-DEC-17;49520;; ;;    ;   ;;   ; ;        ; ;022;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-01-001         ;0;3697;BL/23742 POS MASTER CAFETERIA                               ;05-DEC-17;49520;1]; ;;    ;   ;;   ; ;        ; ;066;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
11-04-017         ;8030;0;BL/23742 POS MASTER CAFETERIA                               ;05-DEC-17;49520;HN; ;9630;    ;   ;BOLCAFETER;   ; ;        ; ;;  ;  ;BOLCAFETER;BL ;23742;05-12-2017;05-12-2017;BL ;23742;        ;6134;730;1165; ; ; ; ; ; ;8030
21-06-001         ;0;1165;BL/23742 POS MASTER CAFETERIA                               ;05-DEC-17;;; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
11-04-018         ;5600;0;BL/23743 POS DEBITO CAFETERIA                               ;05-DEC-17;49521;HN; ;9043;    ;   ;BOLCAFETER;   ; ;        ; ;;  ;  ;BOLCAFETER;BL ;23743;05-12-2017;05-12-2017;BL ;23743;        ;4706;;894; ; ; ; ; ; ;5600
21-06-001         ;0;894;BL/23743 POS DEBITO CAFETERIA                               ;05-DEC-17;;; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-01-001         ;0;4706;BL/23743 POS DEBITO CAFETERIA                               ;05-DEC-17;49521;1]; ;;    ;   ;;   ; ;        ; ;066;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
21-06-001         ;0;1637;BL/23744 POS DEBITO CAFETERIA                               ;05-DEC-17;;; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
11-11-111         ;1;0;BL/23744 POS DEBITO CAFETERIA                               ;05-DEC-17;49522;; ;;    ;   ;;   ; ;        ; ;022;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-02-005         ;0;1025;BL/23744 POS DEBITO CAFETERIA                               ;05-DEC-17;49522;1]; ;;    ;   ;;   ; ;        ; ;;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-01-001         ;0;6681;BL/23744 POS DEBITO CAFETERIA                               ;05-DEC-17;49522;1]; ;;    ;   ;;   ; ;        ; ;066;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
40-01-001         ;0;1933;BL/23744 POS DEBITO CAFETERIA                               ;05-DEC-17;49522;1]; ;;    ;   ;;   ; ;        ; ;067;  ;  ;;;;;;;;        ;;;; ; ; ; ; ; ;
